id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
7434094,Rental unit in San Pedro · ★4.78 · 2 bedrooms · 3 beds · 1.5 baths,38941553,Iz,Belize,Belize Islands,18.04593,-87.89373,Entire home/apt,636,5,9,2023-04-13,0.13,3,296,1,
7437084,Home in Ambergris Caye · ★4.90 · 3 bedrooms · 4 beds · 2 baths,38958834,Sally,Belize,Belize Islands,18.03667,-87.89523,Entire home/apt,805,3,99,2023-12-23,1.17,1,215,8,
7497799,Place to stay in Belize City · ★4.17 · 1 bedroom · 1 bed · 1 bath,9315171,Julia,Belize,Belize Mainland,17.50367,-88.19704,Private room,,1,23,2019-02-24,0.23,6,0,0,
7642962,Home in Caye Caulker · ★4.70 · 6 bedrooms · 10 beds · 4.5 baths,27915952,Brittany,Belize,Belize Islands,17.75867,-88.02474,Entire home/apt,1446,1,23,2023-05-08,0.28,2,328,3,
7885018,Condo in San Pedro · ★4.79 · 3 bedrooms · 3 beds · 3 baths,41566808,Jeanette,Belize,Belize Islands,18.00074,-87.94247,Entire home/apt,1088,3,19,2022-07-23,0.20,1,317,0,
7948162,Condo in Placencia Village · ★5.0 · 2 bedrooms · 3 beds · 2.5 baths,261868426,Hotels Placencia,Stann Creek,Stann Creek Mainland,16.5100040435791,-88.37228393554688,Entire home/apt,567,2,3,2023-08-10,0.45,66,290,3,
8030714,Home in Ladyville · ★4.92 · 2 bedrooms · 2 beds · 1 bath,42386263,Michelle,Belize,Belize Mainland,17.56246,-88.31151,Entire home/apt,298,1,327,2023-12-22,3.25,1,292,50,
8206314,Home in San Ignacio · 3 bedrooms · 4 beds · 2 baths,25348156,Kristin,Cayo,Cayo,17.15011,-89.06999,Entire home/apt,606,2,1,2023-12-22,1,1,362,1,
8302632,Rental unit in San Pedro · ★4.63 · 1 bedroom · 1 bed · 1 bath,43775096,Katrina,Belize,Belize Islands,17.91942,-87.96219,Entire home/apt,121,60,75,2021-01-01,0.77,4,365,0,
8326403,Guesthouse in Placencia · 1 bedroom · 1 bed · 1 private bath,43892918,Cristina,Stann Creek,Stann Creek Mainland,16.52441,-88.3695,Private room,141,2,2,2019-04-20,0.03,1,0,0,
8341470,Place to stay in Belize City · ★4.38 · 11 bedrooms · 3 beds · 1 private bath,43958329,Rodwell,Stann Creek,Stann Creek Mainland,16.99423,-88.37128,Private room,111,1,16,2022-12-27,0.17,1,365,1,
8365438,Treehouse in Bullet Tree Falls · ★4.89 · 1 bedroom · 1 bed · 2 shared baths,22923135,Parrot Nest,Cayo,Cayo,17.17392,-89.10895,Private room,111,2,61,2023-04-20,0.63,8,318,4,
8403769,Cabin in Belize District · ★4.81 · 1 bedroom · 1 bed · 1 bath,44126263,David,Belize,Belize Mainland,17.57882,-88.53794,Entire home/apt,111,1,260,2023-12-13,2.63,1,311,27,
8443223,Villa in Placencia · ★4.80 · 2 bedrooms · 2 beds · 2.5 baths,41092862,Wild,Stann Creek,Stann Creek Mainland,16.54572,-88.35889,Entire home/apt,767,3,30,2023-11-13,0.46,3,284,10,
8485312,Home in Belize · ★4.90 · 1 bedroom · 2 beds · 1 bath,44687690,Michael,Belize,Belize Islands,17.73625,-88.02808,Entire home/apt,200,2,231,2023-12-16,2.31,1,0,22,
8500000,Rental unit in Caye Caulker · ★4.92 · 1 bedroom · 2 beds · 1 bath,13100806,Velento,Belize,Belize Islands,17.736036,-88.02671,Entire home/apt,303,1,50,2023-12-11,0.51,18,262,13,
8525257,Rental unit in Belize City · ★4.90 · 2 bedrooms · 2 beds · 1 bath,44890390,Frank,Belize,Belize Mainland,17.50957,-88.20387,Entire home/apt,81,2,77,2023-11-28,0.82,1,344,5,
8553990,Rental unit in Belize City · 2 bedrooms · 2 beds · 1.5 baths,45026561,Moe,Belize,Belize Mainland,17.51499,-88.22403,Entire home/apt,81,90,0,,,1,0,0,
8554620,Rental unit in Placencia · ★4.50 · 1 bedroom · 2 beds · 1 bath,45000999,Maya,Stann Creek,Stann Creek Mainland,16.61322,-88.35501,Private room,178,1,4,2016-06-09,0.04,4,0,0,
8579103,Condo in Caye Caulker village · ★4.92 · 1 bedroom · 1 bed · 1 bath,604999,Bobbi,Belize,Belize Islands,17.74211,-88.02384,Entire home/apt,418,2,50,2023-12-12,0.52,31,247,7,
8626817,Hotel in San Ignacio · ★5.0 · 1 bedroom · 2 beds · 1 private bath,45374193,Frankie,Cayo,Cayo,17.12966,-89.09505,Hotel room,190,1,6,2023-12-09,0.06,11,243,2,
8644923,"Condo in San Pedro, Ambergris Caye  · ★3.75 · 1 bedroom · 2 beds · 1 bath",45444370,ECI Development,Belize,Belize Islands,17.91213,-87.97537,Entire home/apt,303,1,4,2023-02-19,0.04,15,364,2,
8713813,Boutique hotel in Hopkins · ★4.84 · 1 bedroom · 1 bed · 1 private bath,16831666,Tyler And Val,Stann Creek,Stann Creek Mainland,16.85165,-88.27942,Private room,139,2,81,2023-08-14,0.85,12,301,10,
8773199,Boutique hotel in Hopkins · ★4.76 · 1 bedroom · 2 beds · 1 private bath,16831666,Tyler And Val,Stann Creek,Stann Creek Mainland,16.85202,-88.27942,Private room,202,1,66,2023-11-25,0.68,12,314,5,
8958196,Cabin in San Ignacio · ★4.83 · 1 bedroom · 3 beds · 1 bath,46819996,Mirian,Cayo,Cayo,17.15823,-89.0841,Entire home/apt,101,2,100,2023-01-14,1.01,1,351,1,
8969539,Home in Caye Caulker · ★4.79 · 4 bedrooms · 5 beds · 3 baths,41327997,Sharilyn,Belize,Belize Islands,17.73681,-88.02844,Entire home/apt,503,2,166,2023-12-19,1.69,1,0,18,
8992793,Home in Belize City · ★4.58 · 2 bedrooms · 2 beds · 1 bath,71837120,Mel,Belize,Belize Mainland,17.55699,-88.53317,Entire home/apt,151,1,215,2023-12-18,2.21,1,304,34,
9043364,Treehouse in San Ignacio · ★4.95 · 1 bedroom · 1 bed · 2 shared baths,22923135,Parrot Nest,Cayo,Cayo,17.17524,-89.10852,Private room,111,2,168,2023-12-17,1.70,8,325,17,
9063035,Bungalow in San Ignacio · 1 bedroom · 1 bed · 1 bath,44199832,Judy,Cayo,Cayo,17.13852,-89.04982,Private room,424,1,0,,,1,0,0,
9110114,Cottage in Caye Caulker · ★4.87 · 2 bedrooms · 1 bed · 1 bath,47480777,Jeff,Belize,Belize Islands,17.73994,-88.02725,Entire home/apt,363,1,15,2023-12-09,0.15,3,277,6,
9110318,Cottage in Caye Caulker · ★4.95 · 2 bedrooms · 1 bed · 1 bath,47480777,Jeff,Belize,Belize Islands,17.74112,-88.02661,Entire home/apt,363,3,37,2023-12-16,0.41,3,271,17,
