id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
28237370,Rental unit in Bruxelles · ★4.97 · 1 bedroom · 1 bed · 1 bath,4379081,Corado,,Bruxelles,50.84477,4.37735,Entire home/apt,137,4,30,2023-11-05,0.49,3,262,13,
28241418,Condo in Bruxelles · ★4.40 · 1 bedroom · 1 bed · 1 bath,189315430,Daphné,,Etterbeek,50.83884,4.38344,Entire home/apt,63,30,5,2022-11-20,0.08,22,66,0,
28265807,Rental unit in Schaarbeek · ★5.0 · 1 bedroom · 1 bed · 1.5 baths,16898836,Karin,,Schaerbeek,50.8656,4.38616,Entire home/apt,140,3,3,2022-09-04,0.11,1,293,0,
28296377,Rental unit in Schaerbeek · ★4.47 · 1 bedroom · 1 bed · 1 bath,24871510,Cosi,,Schaerbeek,50.85644,4.39975,Entire home/apt,45,3,60,2021-10-31,0.94,2,20,0,
28305183,Rental unit in Brussel · ★4.95 · 1 bedroom · 1 bed · 1.5 shared baths,35612808,Helena,,Bruxelles,50.86069,4.35265,Private room,55,3,39,2023-09-23,0.62,1,319,3,
28325989,Rental unit in Jette · ★4.88 · 1 bedroom · 1 bed · 1 bath,50075228,Diana,,Jette,50.86978,4.32522,Entire home/apt,70,5,16,2023-07-30,0.25,1,0,1,
28383950,Rental unit in Brussel · ★3.89 · 1 bedroom · 1 bed · 1 bath,15097718,Vincent,,Schaerbeek,50.87095,4.37169,Entire home/apt,70,7,9,2020-08-31,0.16,1,322,0,
28399523,Home in Forest · ★4.91 · 1 bedroom · 1 bed · 1 private bath,22793323,Laurent,,Forest,50.81552,4.32614,Private room,48,3,22,2023-10-30,0.34,3,0,4,
28419237,Rental unit in Saint-Gilles · ★4.62 · 1 bedroom · 1 bed · 1.5 baths,12534520,Souad,,Saint-Gilles,50.83207,4.3556,Entire home/apt,330,2,25,2023-09-27,0.84,2,0,8,
28446142,Home in Vorst · ★4.94 · 1 bedroom · 2 beds · 1 private bath,22793323,Laurent,,Forest,50.8153,4.32648,Private room,38,3,33,2023-10-29,0.52,3,0,6,
