id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
21702594,Guest suite in Hong Kong · ★4.91 · 1 bedroom · 1 bed · 1 bath,68260785,Jack,,Yau Tsim Mong,22.29948,114.17308,Entire home/apt,708,28,11,2023-10-29,0.16,13,317,4,
21704206,Rental unit in Hong Kong · 1 bedroom · 2 beds · 1 private bath,50244762,Tiffany,,Yau Tsim Mong,22.31846,114.1696,Private room,,2,2,2018-12-12,0.03,1,0,0,
21715934,Rental unit in Hong Kong · 2 bedrooms · 2 beds · 1 bath,76545056,Rita,,Islands,22.29537,113.94705,Entire home/apt,850,30,0,,,19,362,0,
21754532,Rental unit in Shamshuipo · ★4.93 · 1 bedroom · 2 beds · 1.5 shared baths,157504780,Clem,,Sham Shui Po,22.32914,114.16249,Private room,423,1,95,2023-12-01,1.28,3,0,20,
21755091,Condo in Hong Kong · 2 bedrooms · 2 beds · 2 baths,76545056,Rita,,Islands,22.29141,113.9402,Entire home/apt,850,30,0,,,19,342,0,
21756250,Rental unit in Hong Kong · ★5.0 · 3 bedrooms · 2 beds · 1 bath,48553350,David,,Wan Chai,22.27802,114.18452,Entire home/apt,900,30,6,2018-07-17,0.08,3,0,0,
21757910,Rental unit in Shamshuipo · ★4.95 · 1 bedroom · 3 beds · 1.5 baths,157504780,Clem,,Sham Shui Po,22.32669,114.16139,Private room,380,1,148,2023-12-01,1.99,3,0,42,
21758649,Rental unit in Hong Kong · ★4.80 · 1 bedroom · 1 bed · 1 bath,16244844,Raúl,,Yau Tsim Mong,22.32117,114.16865,Entire home/apt,700,7,5,2023-08-02,0.08,1,31,1,
21761317,Condo in Hong Kong · Studio · 1 bed · 1 shared bath,138649185,Apac,,Wan Chai,22.27639,114.17476,Private room,999,30,0,,,136,364,0,
21781074,Townhouse in Hong Kong · ★4.83 · 1 bedroom · 1 bed · 2 shared baths,157731750,Beata,,Tsuen Wan,22.35112,114.06009,Private room,70186,180,76,2019-10-05,1.03,1,181,0,
21789242,Rental unit in Hong Kong · Studio · 2 beds · 1 bath,158782176,娜,,Yuen Long,22.44655,114.01429,Entire home/apt,1520,1,0,,,1,0,0,
21802142,Rental unit in Shamshuipo · ★4.87 · 2 bedrooms · 5 beds · 3 baths,157504780,Clem,,Sham Shui Po,22.32883,114.16232,Private room,809,1,154,2023-12-11,2.09,3,83,52,
21832911,Rental unit in Hong Kong · 1 bedroom · 1 bed · 1 shared bath,67709885,Steven,,Central & Western,22.28087,114.15094,Private room,160,31,0,,,293,180,0,
21838318,Condo in Hong Kong · ★4.89 · 1 bedroom · 1 bed · 1 bath,134183159,James,,Yau Tsim Mong,22.32085,114.16144,Entire home/apt,784,28,37,2023-09-13,0.51,1,0,1,
21841803,Rental unit in Hong Kong · ★4.88 · 1 bedroom · 2 beds · 1 shared bath,7483132,Vanessa,,Central & Western,22.28756,114.14372,Private room,479,2,33,2019-11-17,0.45,1,11,0,
21858256,Rental unit in Hong Kong · ★4.75 · 2 bedrooms · 2 beds · 1 bath,48553350,David,,Wan Chai,22.27896,114.18333,Entire home/apt,1200,30,32,2020-10-10,0.44,3,0,0,
21884932,Serviced apartment in Hong Kong · ★4.80 · 2 bedrooms · 2 beds · 2 shared baths,56570136,The Grand Blossom,,Kowloon City,22.30764,114.18472,Private room,1954,1,5,2023-05-02,0.07,54,0,1,
21887082,Condo in Lamma Island · ★4.73 · 1 bedroom · 2 beds · 1 bath,4424311,Karine,,Islands,22.2288,114.10547,Entire home/apt,993,1,240,2023-12-04,3.27,1,84,28,
21950964,Rental unit in Kowloon · 3 bedrooms · 4 beds · 3 baths,42285789,German,,Yau Tsim Mong,22.31458,114.16309,Entire home/apt,2000,30,0,,,1,362,0,
21952880,Rental unit in Hongkong · 2 bedrooms · 3 beds · 2 baths,145631281,Serena,,Yau Tsim Mong,22.31962,114.17224,Entire home/apt,1788,1,0,,,1,17,0,
21961333,Rental unit in 旺角 · ★4.09 · 2 bedrooms · 5 beds · 1 bath,160324909,Michelle,,Yau Tsim Mong,22.31646,114.16906,Entire home/apt,1300,30,11,2019-01-23,0.15,2,180,0,
21984354,Rental unit in Hong Kong · ★4.42 · 2 bedrooms · 2 beds · 1 private bath,146408355,HK Victoria Resort,,Islands,22.24072,113.97625,Private room,771,1,24,2022-02-04,0.33,6,90,0,
21985442,Home in Hong Kong · ★4.59 · 2 bedrooms · 4 beds · 1 bath,160532277,Yuan Mi,,Islands,22.21006,114.02984,Private room,1664,1,39,2023-08-21,0.54,2,10,6,
21986744,Condo in Hong Kong · ★4.79 · 1 bedroom · 1 bed · 1 shared bath,103784016,WaH,,Kwun Tong,22.32265,114.21325,Shared room,148,298,122,2023-07-16,1.66,2,294,1,
21988668,Condo in Hong Kong · Studio · 1 bed · 1 bath,138649185,Apac,,Central & Western,22.28592,114.14741,Entire home/apt,900,60,0,,,136,364,0,
22022438,Rental unit in Hong Kong · ★4.39 · 2 bedrooms · 3 beds · 1 bath,160817455,Andy,,Yau Tsim Mong,22.29734,114.17305,Entire home/apt,9441,5,28,2020-01-29,0.38,1,365,0,
22024012,Bed and breakfast in Jordan · ★4.67 · 1 bedroom · 1 bed · 1 private bath,7582499,Max,,Yau Tsim Mong,22.30471,114.1714,Hotel room,450,1,69,2023-11-14,0.95,13,226,5,
22024590,Guesthouse in Nathan Road · 1 bedroom · 2 beds · 1.5 baths,7582499,Max,,Yau Tsim Mong,22.30467,114.1715,Private room,459,1,1,2023-11-26,1,13,245,1,
22038386,Condo in Hong Kong · Studio · 1 bed · 1 shared bath,138649185,Apac,,Wan Chai,22.27977,114.18904,Private room,500,28,1,2018-01-20,0.01,136,364,0,
22051603,Condo in Hong Kong · ★4.75 · 2 bedrooms · 2 beds · 1 shared bath,103784016,WaH,,Kwun Tong,22.32218,114.21308,Private room,248,88,77,2019-12-22,1.05,2,185,0,
22070503,Serviced apartment in Hong Kong Island · Studio · 1 bed · 1 private bath,138649185,Apac,,Wan Chai,22.2809,114.17183,Private room,580,30,0,,,136,364,0,
22088298,Rental unit in Hong Kong · ★4.94 · 1 bedroom · 2 beds · 1 bath,118511601,Neil,,Wan Chai,22.27548,114.17103,Entire home/apt,1284,7,17,2023-11-18,0.23,1,50,6,
22101558,Condo in Hong Kong · 2 bedrooms · 2 beds · 1 bath,76545056,Rita,,Islands,22.29331,113.94169,Entire home/apt,850,30,1,2018-06-30,0.01,19,358,0,
22109791,Place to stay in Hong Kong · 1 bed · 1 bath,14861546,Tane Residence,,Central & Western,22.28772,114.14912,Entire home/apt,504,30,1,2020-03-15,0.02,121,365,0,
22109994,Place to stay in Hong Kong · 1 bed · 1 bath,14861546,Tane Residence,,Central & Western,22.2877,114.14946,Entire home/apt,531,30,1,2022-04-22,0.05,121,364,0,
22124056,Condo in Hong Kong · 2 bedrooms · 1 bed · 1 bath,76545056,Rita,,Islands,22.29476,113.94943,Entire home/apt,850,30,0,,,19,362,0,
22124182,Rental unit in Hong Kong · 1 bedroom · 1 bed · 1 bath,76545056,Rita,,Islands,22.29192,113.95001,Entire home/apt,750,30,0,,,19,362,0,
22131624,Boutique hotel in Kowloon · ★4.57 · Studio · 1 bed · 1 private bath,161669067,Yuen King,,Yau Tsim Mong,22.31842,114.16923,Private room,800,1,104,2020-09-22,1.43,4,0,0,
22134553,Rental unit in Kowloon · ★4.46 · 1 bedroom · 1 bed · 1 bath,80873942,Aline,,Sham Shui Po,22.33107,114.16513,Entire home/apt,599,190,46,2019-08-31,0.65,9,180,0,
22134606,Rental unit in Hong Kong · ★4.0 · 1 bedroom · 1 bed · 1 bath,161689538,Kerryn,,Sham Shui Po,22.33166,114.16266,Entire home/apt,229,100,5,2018-08-26,0.07,1,0,0,
22136198,Condo in Hong Kong · Studio · 1 bed · 1 shared bath,138649185,Apac,,Wan Chai,22.28421,114.18705,Private room,996,30,0,,,136,364,0,
22145001,Hotel in Hong Kong · ★4.50 · 1 bedroom · 1 bed · 1 private bath,161669067,Yuen King,,Yau Tsim Mong,22.31873,114.17138,Private room,420,1,4,2019-03-25,0.06,4,0,0,
22145240,pension in Hong Kong · ★4.53 · 1 bed · 1 bath,161669067,Yuen King,,Yau Tsim Mong,22.31871,114.16978,Entire home/apt,450,1,57,2022-04-05,0.81,4,0,0,
22180943,Rental unit in Hong Kong · 1 bedroom · 1 bed · 1 shared bath,67709885,Steven,,Wan Chai,22.27638,114.18412,Private room,160,31,0,,,293,180,0,
22183636,pension in Hong Kong · ★4.44 · 1 bed · 1 bath,161669067,Yuen King,,Yau Tsim Mong,22.31892,114.17121,Entire home/apt,420,1,62,2022-08-27,0.85,4,0,0,
22219957,Rental unit in Hong Kong · Studio · 1 bed · 1 private bath,67709885,Steven,,Yau Tsim Mong,22.30006,114.17598,Private room,190,29,0,,,293,180,0,
22230848,Rental unit in Hong Kong · ★4.74 · 1 bedroom · 2 beds · 1 bath,162428539,Sunok,,Central & Western,22.28387,114.15437,Entire home/apt,1211,28,68,2023-12-16,0.94,8,170,7,
22253693,Condo in Hong Kong Island · Studio · 1 bed · 1 shared bath,138649185,Apac,,Wan Chai,22.27901,114.18067,Private room,700,26,0,,,136,324,0,
22253841,Condo in Hong Kong · Studio · 1 bed · 1 private bath,138649185,Apac,,Central & Western,22.28601,114.15365,Private room,550,30,0,,,136,365,0,
