id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
912000555940976679,Rental unit in Riga · ★4.95 · 1 bedroom · 1 bed · 1.5 shared baths,193362945,Zanda,,Ägenskalns,56.943753466655906,24.076159559190273,Private room,30,1,39,2023-12-17,6.06,1,22,39,
912021325116184942,Guesthouse in Riga · 2 bedrooms · 4 beds · 1 bath,55623988,Elina,,VecÄÄ·i,57.0747752,24.1079493,Entire home/apt,110,2,1,2023-07-19,0.18,1,0,1,
912058212491086828,Rental unit in Riga · ★4.82 · 2 bedrooms · 2 beds · 1.5 baths,152223036,Darja,,TorÅakalns,56.94197,24.09691,Entire home/apt,97,2,11,2023-11-13,1.84,19,0,11,
912236842743349491,Rental unit in Riga · ★5.0 · 1 bedroom · 2 beds · 1 bath,13023045,Ilona,,TorÅakalns,56.92411353115638,24.096118882298466,Entire home/apt,35,2,4,2023-11-21,0.85,1,75,4,
912301710279479480,Rental unit in Riga · ★4.74 · Studio · 2 beds · 1 bath,94944793,Julija,,Maskavas forÅ¡tate,56.94668,24.13751,Entire home/apt,41,2,27,2023-12-11,4.29,9,7,27,
912364075954346034,Rental unit in Riga · ★New · 1 bedroom · 1 bed · 1 bath,517564945,Artjoms,,Jugla,56.97670657225422,24.24442023038864,Entire home/apt,38,1,0,,,1,83,0,
912381915258043561,Rental unit in Riga · 2 bedrooms · 2 beds · 1.5 baths,152223036,Darja,,Ägenskalns,56.9421,24.09527,Entire home/apt,90,2,2,2023-07-15,0.32,19,1,2,
912738701045409407,Rental unit in Riga · 2 bedrooms · 2 beds · 1 bath,445005601,Marika,,Teika,56.97944011882581,24.188927292971467,Entire home/apt,189,1,0,,,1,365,0,
913355011975224966,Rental unit in Riga · 1 bedroom · 2 beds · 1 bath,17344745,Martins,,Maskavas forÅ¡tate,56.94092,24.13537,Entire home/apt,60,1,2,2023-08-13,0.43,1,239,2,
913400888954262267,Home in Riga · ★4.60 · 2 bedrooms · 3 beds · 1 bath,22480466,Anda,,Teika,56.98189,24.19002,Entire home/apt,43,2,10,2023-11-12,1.60,1,54,10,
914260951073994523,Rental unit in Riga · ★4.90 · 3 bedrooms · 3 beds · 1 bath,57862415,Dāvis,,Centrs,56.9571249,24.1271141,Entire home/apt,116,1,20,2023-08-06,3.37,1,68,20,
914395384551490433,Rental unit in Riga · 1 bedroom · 1 bed · 1 bath,129853715,Larisa,,Imanta,56.9579161,24.004137,Entire home/apt,40,14,0,,,1,270,0,
914909514929802500,Rental unit in Riga · 1 bedroom · 1 bed · 1 bath,19055206,Romans,,Maskavas forÅ¡tate,56.94405,24.14021,Entire home/apt,44,2,1,2023-07-15,0.18,1,83,1,
915006434696174853,Rental unit in Riga · ★3.67 · 3 bedrooms · 5 beds · 1.5 baths,520301101,Svetlana,,Centrs,56.95653681890471,24.13410418650817,Entire home/apt,146,1,3,2023-08-06,0.57,1,92,3,
915135256688379553,Rental unit in Riga · ★5.0 · 1 bedroom · 2 beds · 1.5 baths,424645376,Anna,,Teika,56.98183392959388,24.199088042475843,Entire home/apt,95,2,4,2023-09-17,0.69,1,358,4,
916040712888212768,Camper/RV in Riga · 1 bedroom · 1 bed · 1 bath,142669568,Janis,,Maskavas forÅ¡tate,56.9427759,24.1233585,Entire home/apt,72,1,0,,,3,365,0,
916705518255774307,Condo in Riga · ★5.0 · 1 bedroom · 2 beds · 1 bath,34176587,Agita,,Centrs,56.9579264,24.1245558,Entire home/apt,71,2,4,2023-08-27,0.82,1,211,4,
917161312837411438,Rental unit in Riga · ★5.0 · 1 bedroom · 1 bed · 1 bath,513301009,Guntars,,Avoti,56.9523383,24.1302185,Entire home/apt,41,2,8,2023-12-09,1.46,2,309,8,
917254005473574414,Condo in Riga · ★5.0 · 2 bedrooms · 3 beds · 2 baths,162348189,Aivars,,Centrs,56.96104829999999,24.1195427,Entire home/apt,83,3,3,2023-12-17,0.60,1,360,3,
917761330547289902,Camper/RV in Riga · 1 bedroom · 2 beds · 2 shared baths,142669568,Janis,,Maskavas forÅ¡tate,56.94256521564348,24.123160016532903,Private room,72,1,0,,,3,365,0,
917787169222908871,Condo in Riga · 1 bedroom · 2 beds · 1 bath,123732594,Ineta,,Purvciems,56.956964,24.1805599,Entire home/apt,80,1,2,2023-09-03,0.39,2,364,2,
