id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1139869,Loft in 大安區 · ★4.95 · 2 bedrooms · 2 beds · 1 bath,6251774,Scott,,大安區,25.02845,121.54682,Entire home/apt,6000,30,178,2020-09-04,1.82,1,249,0,
1259320,Condo in Da’an District · ★4.79 · 2 bedrooms · 1 bed · 1 bath,398519,Shane,,大安區,25.03397,121.55313,Entire home/apt,5054,4,169,2023-12-07,1.32,1,235,17,
1297987,Rental unit in Zhongzheng District · ★4.87 · 1 bedroom · 2 beds · 1 bath,5992856,John。Annie,,中正區,25.04727,121.51671,Entire home/apt,2453,7,177,2023-12-23,1.41,1,223,21,
1414613,Rental unit in 台北 · ★4.63 · 1 bedroom · 1 bed · 1 bath,7121137,Billy,,北投區,25.11821,121.51393,Private room,2474,5,60,2019-12-15,0.48,2,41,0,
1599241,Rental unit in Shilin District · 1 bedroom · 1 bed · 1 bath,6378689,Wei Wei,,士林區,25.11179,121.52735,Private room,5000,1,0,,,2,364,0,
1610619,Rental unit in Beitou District · ★4.90 · Studio · 1 bed · 1 bath,8577376,Sonnia,,北投區,25.13602,121.51075,Entire home/apt,2500,2,52,2023-12-21,0.46,1,0,3,
1664910,Rental unit in Zhongzheng District · ★4.67 · 1 bedroom · 2 beds · 1 bath,8818893,Tzu Hao,,中正區,25.02692,121.51984,Entire home/apt,2000,1,115,2023-10-29,0.93,1,200,10,
1671130,Condo in Zhongzheng District · ★4.60 · 1 bedroom · 2 beds · 1 bath,8847227,Koma,,中正區,25.0454,121.51649,Entire home/apt,2312,7,346,2023-11-19,3.11,3,196,5,
1701140,Rental unit in Zhongshan District · ★4.36 · 1 bedroom · 1 bed · 1 bath,906344,Lily,,中山區,25.05258,121.52132,Entire home/apt,2843,5,300,2023-12-19,2.46,23,88,8,
1718240,Condo in Daan District · ★4.74 · 1 bedroom · 3 beds · 1 bath,8868664,Anne,,大安區,25.0265,121.55221,Entire home/apt,3943,1,115,2023-12-25,1.08,3,170,16,
1804621,Rental unit in Daan District · ★4.83 · 1 bedroom · 1 bed · 1 bath,4647921,Mark,,大安區,25.044078826904297,121.5509033203125,Entire home/apt,6333,3,79,2023-12-20,0.64,1,363,9,
1805693,Condo in Xinyi District · ★4.33 · 1 bedroom · 1 bed · 1.5 shared baths,9464016,Yen-Ning (Jessica),,信義區,25.046871185302734,121.57386016845703,Private room,500,7,9,2023-12-12,0.92,1,315,9,
1805783,Rental unit in Da’an District · ★4.77 · 3 bedrooms · 4 beds · 2 baths,51827,Jan,,大安區,25.04086,121.55334,Entire home/apt,9029,4,118,2023-11-27,0.95,13,155,23,
1808483,Home in Da’an District · ★4.37 · 1 bedroom · 1 bed · 1.5 baths,5247611,Fiona,,大安區,25.03641,121.55653,Entire home/apt,1300,2,108,2023-12-18,0.98,3,271,26,
1838528,Rental unit in Shilin District · ★4.32 · 1 bedroom · 1 bed · 1 bath,9610268,Simon,,士林區,25.08967,121.52408,Private room,1697,2,85,2023-07-11,0.70,2,53,2,
1849010,Rental unit in Daan District · ★4.75 · 1 bedroom · 2 beds · 2 shared baths,3958878,Banana Co-Living,,大安區,25.03389,121.52627,Private room,500,30,4,2015-04-24,0.03,7,365,0,
1849903,Rental unit in Daan District · ★4.87 · 1 bedroom · 2 beds · 1 bath,51827,Jan,,大安區,25.03044,121.53053,Entire home/apt,3939,3,110,2023-12-14,0.89,13,193,29,
1883163,Condo in Daan District · ★4.62 · 2 bedrooms · 2 beds · 1 bath,9801512,Belle,,大安區,25.02521,121.52612,Entire home/apt,1829,2,40,2020-03-15,0.33,1,332,0,
1894750,Rental unit in Beitou District · ★4.83 · 1 bedroom · 1 bed · 0 shared baths,4717608,On My Way Taipei Hostel,,北投區,25.1319,121.50123,Shared room,600,1,48,2023-04-30,0.39,3,353,2,
1911361,Rental unit in Xinyi District · ★4.47 · 3 bedrooms · 6 beds · 2.5 shared baths,6378689,Wei Wei,,信義區,25.03161,121.55981,Private room,700,30,438,2019-12-30,3.59,2,365,0,
1933639,Serviced apartment in Taipei · ★4.79 · 1 bedroom · 2 beds · 1 private bath,10007698,Kiki,,中山區,25.05867,121.53409,Hotel room,4095,3,362,2023-12-09,2.94,26,61,31,
1938837,Rental unit in Shilin District · ★4.89 · 1 bedroom · 3 beds · 1 bath,10006796,Johnson,,士林區,25.10667,121.52732,Entire home/apt,2200,7,110,2023-11-24,1.12,3,6,12,
1980573,Condo in Da’an District · ★4.72 · Studio · 1 bed · 1 bath,10221270,StayAtOurPlace,,大安區,25.03217,121.55339,Entire home/apt,3643,7,103,2023-12-20,0.84,5,268,10,
2042832,Rental unit in Daan District · ★4.91 · 2 bedrooms · 2 beds · 1 bath,51827,Jan,,大安區,25.03083,121.5311,Entire home/apt,5410,4,91,2023-12-11,0.75,13,188,20,
2075962,Rental unit in Daan District · ★5.0 · 1 bedroom · 1 bed · 1 bath,339014,Lisa,,大安區,25.0287746,121.55468591047,Entire home/apt,1042,30,11,2023-12-18,0.12,8,159,3,
2075966,Rental unit in Daan District · 1 bedroom · 1 bed · 1 bath,339014,Lisa,,大安區,25.042783149297396,121.54989779051552,Entire home/apt,1323,30,2,2019-05-05,0.03,8,261,0,
2084454,Condo in Daan District · ★2.67 · 1 bedroom · 1 bed · 1 bath,3097566,Great,,大安區,25.04477,121.54371,Private room,828,30,3,2023-06-30,0.02,3,364,1,
